,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
78,FTNT,151.94,197.9,-45.96,25194.12,19941.94,261,36,13.8,34.34
79,TER,151.84,158.65,-6.81,25184.35,20718.89,261,46,17.6,51.96
80,EOG,149.01,127.25,21.75,24900.55,10742.59,261,25,9.6,30.05
81,PM,147.83,149.26,-1.43,24783.16,2781.03,261,11,4.2,22.02
82,HPE,146.26,137.06,9.2,24625.52,11024.93,261,34,13.0,43.87
83,CVX,145.79,130.39,15.4,24579.04,4069.92,261,11,4.2,23.57
84,CSCO,145.67,159.52,-13.85,24567.05,2756.69,261,9,3.4,34.4
85,ACGL,143.42,150.36,-6.94,24342.13,3963.29,261,11,4.2,22.57
86,MAR,141.2,168.5,-27.3,24119.57,5468.18,261,21,8.0,30.62
87,NUE,140.85,141.67,-0.81,24085.42,12093.32,261,36,13.8,43.83
88,KMI,138.06,138.14,-0.08,23806.31,2327.4,261,12,4.6,20.15
89,AFL,135.41,137.72,-2.32,23540.68,1846.19,261,10,3.8,20.74
90,CF,135.31,167.28,-31.97,23530.77,14768.74,261,36,13.8,44.81
91,MS,134.59,161.78,-27.19,23458.97,5020.54,261,20,7.7,33.32
92,APP,133.38,655.65,-522.27,23337.71,41907.04,253,79,31.2,88.27
93,VRTX,131.62,101.55,30.07,23161.97,7542.9,261,14,5.4,26.3
94,CEG,131.44,306.04,-174.6,23144.09,28300.46,213,37,17.4,43.53
95,OXY,130.66,155.05,-24.39,23066.07,19503.56,261,32,12.3,45.97
96,PGR,129.2,123.59,5.6,22919.72,4117.79,261,18,6.9,29.18
97,GWW,128.07,192.83,-64.76,22807.33,3404.93,261,16,6.1,25.94
98,AAPL,125.84,140.01,-14.17,22583.59,4979.24,261,17,6.5,33.34
99,RTX,125.66,129.5,-3.85,22565.55,3164.25,261,11,4.2,30.68
100,SYF,124.83,73.57,51.26,22482.67,10212.14,261,26,10.0,37.92
101,TPL,123.7,138.45,-14.75,22370.35,27801.25,261,45,17.2,46.77
102,WRB,123.24,121.97,1.27,22324.35,2758.9,261,9,3.4,24.26
103,AZO,123.16,128.69,-5.53,22315.55,3511.96,261,9,3.4,24.65
104,LYV,121.25,89.53,31.71,22124.63,9422.21,261,24,9.2,39.4
105,FFIV,121.14,105.2,15.95,22114.41,6020.3,261,17,6.5,42.61
106,NI,120.99,116.72,4.28,22099.36,1374.87,261,9,3.4,23.88
107,PCAR,120.49,121.94,-1.45,22049.4,4275.83,261,15,5.7,24.93
108,COR,120.47,137.31,-16.85,22046.53,2696.65,261,13,5.0,31.83
109,CB,120.29,113.01,7.28,22029.25,1534.34,261,8,3.1,18.72
110,CDNS,119.21,176.24,-57.03,21921.35,12964.08,261,39,14.9,33.47
111,ORCL,118.74,153.64,-34.9,21873.92,19492.87,261,30,11.5,54.44
112,ABBV,117.73,115.69,2.04,21773.45,3303.05,261,11,4.2,22.95
113,DECK,114.65,82.4,32.25,21465.24,24635.26,261,32,12.3,50.37
114,JPM,113.8,112.17,1.63,21380.07,2941.93,261,14,5.4,37.37
115,MO,112.18,117.42,-5.24,21218.25,1640.71,261,10,3.8,23.97
116,RSG,112.18,108.97,3.21,21217.69,1006.06,261,5,1.9,21.85
117,FOXA,111.26,88.61,22.65,21125.96,3924.59,261,14,5.4,34.66
118,GL,111.09,56.8,54.29,21108.82,6372.31,261,12,4.6,61.56
119,CRH,110.91,133.5,-22.58,21091.39,7209.53,261,29,11.1,37.83
120,CRWD,110.87,203.3,-92.43,21087.29,20175.77,261,53,20.3,64.66
121,URI,110.65,206.76,-96.11,21064.64,13505.88,261,38,14.6,40.52
122,WSM,110.17,127.8,-17.62,21017.4,17072.5,261,33,12.6,48.93
