,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
335,ALB,11.89,18.01,-6.12,11188.93,19196.2,261,58,22.2,82.24
336,HPQ,11.87,-21.86,33.73,11186.59,8487.87,261,19,7.3,40.95
337,TSCO,11.09,-6.29,17.38,11108.85,5406.91,261,10,3.8,49.77
338,PAYX,11.05,9.17,1.88,11105.41,2518.94,261,12,4.6,44.82
339,SHW,10.89,11.77,-0.88,11089.1,2928.0,261,21,8.0,41.25
340,TSN,10.12,-3.58,13.7,11012.36,2468.74,261,9,3.4,47.82
341,AKAM,9.9,32.87,-22.97,10989.86,6023.47,261,19,7.3,40.83
342,J,9.7,4.72,4.98,10970.33,2996.51,261,16,6.1,31.7
343,VLTO,9.46,8.09,1.37,10945.6,724.6,124,4,3.2,24.05
344,PNR,9.11,15.97,-6.87,10910.73,3944.85,261,16,6.1,47.94
345,FTV,8.85,13.45,-4.6,10885.21,2412.33,261,11,4.2,31.9
346,IEX,8.67,0.95,7.72,10867.11,1971.37,261,10,3.8,31.04
347,CPT,8.43,0.84,7.59,10843.39,1691.56,261,8,3.1,47.62
348,WTW,7.98,3.85,4.14,10798.26,2303.3,261,9,3.4,25.42
349,REGN,7.09,23.52,-16.43,10709.19,5163.7,261,27,10.3,56.21
350,SYK,6.88,29.68,-22.79,10688.43,2088.57,261,18,6.9,33.52
351,RMD,6.8,7.34,-0.54,10680.21,5907.7,261,21,8.0,47.9
352,BX,6.61,55.71,-49.1,10660.91,10044.08,261,36,13.8,55.45
353,OMC,6.09,5.54,0.55,10608.56,4501.87,261,15,5.7,32.2
354,JKHY,6.0,-4.71,10.71,10599.79,2429.91,261,8,3.1,30.73
355,STE,5.34,17.54,-12.19,10534.44,3139.86,261,18,6.9,34.26
356,LH,5.31,15.79,-10.49,10530.75,1960.95,261,16,6.1,32.65
357,NOW,5.18,9.76,-4.58,10518.23,14383.62,261,40,15.3,65.77
358,ES,5.01,-1.98,6.99,10501.34,1891.05,261,8,3.1,39.94
359,UDR,4.9,-1.85,6.75,10489.6,1797.3,261,12,4.6,42.32
360,HD,4.51,7.24,-2.73,10450.99,2297.2,261,14,5.4,34.75
361,SPGI,4.45,16.18,-11.73,10444.7,2455.26,261,12,4.6,42.29
362,SYY,4.17,4.63,-0.45,10417.34,2426.84,261,13,5.0,27.19
363,OTIS,3.54,-0.43,3.96,10353.69,1907.3,261,7,2.7,30.47
364,MAA,2.97,-2.59,5.57,10297.04,1578.84,261,8,3.1,44.68
365,UNH,2.37,4.28,-1.91,10237.05,5644.73,261,17,6.5,54.57
366,BMY,2.05,4.57,-2.52,10204.76,1947.26,261,11,4.2,46.22
367,IDXX,1.76,1.21,0.54,10175.83,6311.36,261,23,8.8,56.69
368,SJM,0.9,-8.71,9.61,10089.66,2110.5,261,6,2.3,36.01
369,CMG,0.49,25.77,-25.27,10049.46,7492.56,261,31,11.9,52.68
370,ABNB,0.39,-1.4,1.78,10038.71,14110.7,261,40,15.3,50.48
371,CPRT,0.29,7.79,-7.5,10028.93,3451.85,261,16,6.1,48.94
372,MAS,-0.46,17.35,-17.81,9953.7,4171.95,261,31,11.9,36.92
373,GPC,-0.5,-18.16,17.67,9950.46,4241.11,261,13,5.0,35.45
374,INVH,-0.9,-5.67,4.77,9910.29,1963.28,261,8,3.1,35.73
375,GEN,-1.66,1.18,-2.84,9833.7,4975.74,261,14,5.4,41.46
376,BLDR,-1.76,56.72,-58.49,9823.58,24562.22,261,50,19.2,68.31
377,BR,-1.89,2.33,-4.22,9810.71,2152.34,261,12,4.6,44.9
378,NWSA,-2.68,1.6,-4.27,9732.23,2747.54,261,20,7.7,44.33
379,EXPE,-2.81,28.41,-31.22,9718.8,11995.1,261,37,14.2,58.59
380,XYL,-3.47,0.92,-4.38,9653.18,2808.26,261,17,6.5,42.05
381,SBUX,-3.47,7.52,-11.0,9652.55,4150.94,261,22,8.4,45.71
382,UHS,-4.78,9.86,-14.64,9521.62,4957.43,261,19,7.3,40.29
383,KDP,-4.85,-7.97,3.12,9514.97,1326.74,261,7,2.7,27.16
384,VRSK,-5.24,2.25,-7.48,9476.35,2685.9,261,12,4.6,50.74
385,HSIC,-5.29,-8.46,3.17,9471.08,2417.71,261,14,5.4,31.88
386,MGM,-5.68,-7.02,1.33,9431.57,10068.21,261,42,16.1,46.92
387,MMM,-6.26,7.57,-13.83,9374.45,2805.81,261,17,6.5,53.1
388,DASH,-8.53,18.74,-27.26,9147.25,15841.33,261,55,21.1,81.58
389,KMB,-10.3,-12.32,2.02,8969.98,1229.19,261,3,1.1,29.09
390,WAT,-10.97,6.66,-17.63,8903.05,5854.27,261,30,11.5,43.0
391,AOS,-11.02,-9.82,-1.2,8898.18,3193.03,261,15,5.7,41.51
392,BDX,-13.28,-17.58,4.3,8672.33,1925.46,261,12,4.6,36.07
393,ALLE,-13.29,-0.3,-12.99,8671.45,2487.54,261,15,5.7,38.79
394,ABT,-13.81,-18.02,4.21,8618.99,1728.29,261,7,2.7,36.75
395,TAP,-13.86,-14.35,0.5,8614.17,2726.84,261,13,5.0,36.67
396,KVUE,-13.93,-18.79,4.86,8607.06,2036.68,146,6,4.1,38.88
397,FISV,-14.58,-50.57,35.99,8541.85,8414.29,261,12,4.6,66.33
398,INTU,-14.62,-4.24,-10.38,8537.53,8581.06,261,35,13.4,60.48
399,CNC,-14.87,-18.9,4.03,8513.33,7151.45,261,27,10.3,65.66
400,DPZ,-15.0,-23.32,8.31,8499.9,4532.91,261,17,6.5,43.44
401,EW,-15.07,-11.22,-3.85,8493.24,4869.28,261,29,11.1,61.17
402,LYB,-15.24,-4.84,-10.4,8475.93,4894.54,261,27,10.3,53.45
403,AVY,-15.7,-21.31,5.62,8430.37,2151.9,261,6,2.3,29.87
404,DXCM,-15.87,-24.38,8.51,8412.66,14371.31,261,34,13.0,67.95
405,CTSH,-16.11,-22.23,6.12,8388.91,3460.29,261,18,6.9,46.12
406,INTC,-16.24,111.27,-127.51,8376.13,9978.55,261,45,17.2,69.3
407,GEHC,-17.08,-19.44,2.36,8292.21,3298.01,166,11,6.6,35.72
408,LEN,-17.12,-1.91,-15.21,8287.61,7765.51,261,31,11.9,55.43
409,IT,-18.01,-32.97,14.96,8199.33,8073.92,261,22,8.4,65.49
410,AWK,-18.34,-10.25,-8.1,8165.68,1492.82,261,10,3.8,43.16
411,TMO,-19.17,-3.71,-15.46,8083.08,3451.61,261,14,5.4,43.99
412,MOS,-19.23,-31.51,12.28,8076.94,13652.33,261,35,13.4,57.45
413,ACN,-19.52,-32.69,13.17,8047.64,4037.07,261,13,5.0,52.7
414,WY,-20.34,-24.36,4.02,7965.79,2758.28,261,16,6.1,43.31
415,AMCR,-20.44,-22.99,2.55,7955.87,2443.85,261,6,2.3,33.61
416,A,-20.44,-12.15,-8.29,7955.57,3772.86,261,22,8.4,47.94
417,HUM,-20.7,-26.9,6.2,7929.66,6962.33,261,30,11.5,63.22
418,EFX,-21.33,-27.01,5.68,7866.79,6230.86,261,19,7.3,45.68
419,FDS,-22.13,-27.95,5.82,7787.08,3387.58,261,8,3.1,57.12
420,PFE,-22.18,-18.42,-3.75,7782.46,2604.4,261,11,4.2,58.24
421,MTD,-22.47,-15.76,-6.71,7753.42,4959.67,261,23,8.8,48.16
422,LVS,-22.61,-7.99,-14.62,7738.74,7651.97,261,35,13.4,53.34
423,ROP,-22.94,-22.0,-0.94,7705.99,1399.72,261,9,3.4,44.29
424,STZ,-23.26,-31.69,8.43,7673.92,2123.92,261,8,3.1,47.42
425,MDT,-23.75,-28.91,5.15,7624.63,1048.64,261,6,2.3,42.08
426,DOW,-24.07,-25.79,1.72,7592.92,4198.66,261,27,10.3,61.08
427,CDW,-24.15,-34.11,9.96,7585.27,4709.14,261,16,6.1,54.65
428,BA,-24.41,-3.09,-21.32,7559.18,5884.1,261,33,12.6,54.35
429,TYL,-25.56,-20.5,-5.06,7443.91,5275.78,261,20,7.7,52.7
430,TRMB,-26.5,-28.32,1.83,7350.48,4899.1,261,23,8.8,54.04
431,ADSK,-27.19,-13.4,-13.79,7280.96,5632.46,261,29,11.1,52.32
432,CCL,-27.7,-9.1,-18.6,7230.0,11858.77,261,63,24.1,73.94
433,WYNN,-28.4,-22.23,-6.16,7160.49,7949.13,261,38,14.6,57.1
434,DOC,-28.7,-23.21,-5.5,7129.92,1766.76,261,16,6.1,51.6
435,GNRC,-29.19,-17.98,-11.21,7080.75,11268.12,261,50,19.2,78.94
436,SWKS,-29.76,-52.23,22.47,7023.77,6947.18,261,30,11.5,61.54
437,KHC,-30.02,-32.42,2.39,6997.83,1424.73,261,6,2.3,37.89
438,AES,-30.6,-30.26,-0.34,6940.06,5969.53,261,36,13.8,65.54
439,CRM,-31.14,-18.62,-12.52,6886.43,7152.39,261,28,10.7,60.02
440,TGT,-31.31,-35.26,3.95,6869.45,5131.07,261,25,9.6,62.96
441,BIIB,-31.71,-33.03,1.32,6829.22,6797.05,261,16,6.1,69.01
442,BBY,-31.71,-36.87,5.16,6829.05,6842.37,261,26,10.0,54.14
443,BXP,-31.73,-29.81,-1.92,6827.09,4370.71,261,22,8.4,60.78
444,TROW,-31.74,-32.3,0.56,6826.1,3252.1,261,15,5.7,59.97
445,GIS,-31.9,-35.92,4.02,6810.38,1269.4,261,6,2.3,55.85
446,SBAC,-32.52,-25.4,-7.12,6747.98,3496.23,261,19,7.3,55.4
447,CMCSA,-33.27,-43.64,10.37,6672.62,2630.03,261,9,3.4,47.1
448,BALL,-33.36,-31.86,-1.49,6664.27,3618.28,261,19,7.3,50.33
449,PPG,-33.68,-35.21,1.53,6631.78,2442.19,261,19,7.3,47.17
450,AMT,-33.74,-17.75,-15.99,6626.03,2344.97,261,23,8.8,49.35
451,DHR,-34.08,-25.8,-8.28,6592.15,3495.16,261,20,7.7,50.31
452,UPS,-35.36,-44.69,9.34,6464.42,3037.03,261,16,6.1,51.22
453,DIS,-37.2,-37.93,0.73,6280.11,2788.07,261,13,5.0,54.03
454,COIN,-37.61,-22.14,-15.47,6238.62,28474.44,253,73,28.9,86.7
455,WBD,-38.09,-14.91,-23.18,6190.55,9205.88,261,48,18.4,77.24
456,ZBH,-39.22,-45.21,5.99,6078.06,2338.35,261,16,6.1,43.88
457,IFF,-40.14,-39.53,-0.61,5986.12,3592.84,261,17,6.5,56.3
458,IP,-40.86,-36.66,-4.2,5914.39,4327.02,261,20,7.7,45.86
459,LUV,-41.2,-30.89,-10.31,5879.59,5341.59,261,39,14.9,63.1
460,ZBRA,-41.45,-47.34,5.9,5855.33,6201.74,261,31,11.9,65.21
461,DG,-41.66,-43.58,1.92,5833.9,5191.62,261,18,6.9,64.17
462,ADBE,-41.87,-48.01,6.14,5813.1,7427.14,261,33,12.6,63.8
463,COO,-42.1,-37.33,-4.77,5789.73,3119.48,261,22,8.4,51.36
464,RVTY,-42.33,-34.58,-7.75,5767.41,5064.49,261,27,10.3,61.39
465,CLX,-42.54,-39.19,-3.35,5746.27,2266.61,261,15,5.7,49.78
466,CPB,-43.36,-49.73,6.36,5663.54,1899.21,261,8,3.1,55.8
467,CVNA,-44.07,36.57,-80.64,5592.88,13292.69,261,74,28.4,98.94
468,MKC,-45.11,-42.72,-2.39,5489.06,1890.57,261,13,5.0,53.36
469,NCLH,-46.17,-47.51,1.33,5382.8,14705.3,261,61,23.4,66.61
470,IQV,-46.26,-27.0,-19.25,5374.33,4401.19,261,27,10.3,57.24
471,CCI,-46.47,-38.64,-7.83,5353.47,2057.68,261,19,7.3,58.79
472,HRL,-47.21,-51.36,4.16,5279.41,1593.84,261,6,2.3,53.15
473,CAG,-47.61,-53.23,5.62,5238.99,1543.77,261,7,2.7,56.25
474,WDAY,-47.96,-44.79,-3.17,5204.17,7302.9,261,31,11.9,63.5
475,ZTS,-49.18,-53.5,4.32,5081.84,3003.97,261,14,5.4,65.65
476,TTD,-50.17,-59.01,8.84,4982.84,36336.53,261,48,18.4,77.65
477,SWK,-50.88,-57.16,6.28,4912.18,4499.8,261,33,12.6,67.92
478,GPN,-53.23,-63.22,9.99,4677.45,5133.85,261,27,10.3,57.37
479,APTV,-53.81,-61.39,7.59,4619.31,6854.27,261,32,12.3,69.08
480,LULU,-55.38,-62.32,6.94,4462.23,10874.11,261,38,14.6,68.83
481,PODD,-55.7,-39.67,-16.02,4430.43,9331.34,261,30,11.5,66.97
482,FIS,-55.73,-67.46,11.74,4427.49,3843.73,261,20,7.7,59.23
483,POOL,-56.51,-54.81,-1.7,4348.6,5224.14,261,25,9.6,66.83
484,XYZ,-56.68,-65.53,8.85,4331.57,11912.14,261,51,19.5,81.84
485,VEEV,-57.23,-37.92,-19.31,4277.12,5925.26,261,32,12.3,68.53
486,CRL,-59.96,-54.11,-5.85,4003.87,7055.88,261,37,14.2,78.94
487,EL,-59.99,-71.11,11.12,4000.63,6543.52,261,34,13.0,82.36
488,TECH,-62.89,-55.63,-7.26,3710.95,5765.9,261,35,13.4,72.39
489,NKE,-64.66,-65.54,0.88,3533.53,5032.74,261,26,10.0,71.35
490,BF-B,-64.75,-63.41,-1.34,3525.03,2475.91,261,17,6.5,65.81
491,MRNA,-65.49,-71.01,5.52,3451.14,26182.72,261,57,21.8,89.88
492,BAX,-66.9,-76.2,9.3,3310.32,3380.04,261,25,9.6,71.43
493,CSGP,-67.15,-60.56,-6.58,3285.28,5125.48,261,26,10.0,72.81
494,ALGN,-67.6,-72.99,5.39,3239.79,7691.14,261,35,13.4,82.02
495,ARE,-69.26,-66.94,-2.32,3074.34,3228.98,261,24,9.2,78.54
496,PYPL,-72.04,-82.26,10.22,2796.26,5051.25,261,25,9.6,81.58
497,EPAM,-73.13,-78.73,5.61,2687.49,11644.35,261,38,14.6,83.7
498,PSKY,-73.65,-73.34,-0.31,2635.41,10662.18,261,41,15.7,78.1
499,CHTR,-76.64,-79.67,3.04,2336.2,4328.44,261,25,9.6,80.4
